"ID","区分","機種名","型式名","慣用名","短縮名","メーカー","内規","カテゴリー","型式番号","導入開始日","スマート","遊タイム","有効"
"10508","S","ヤバチバ","LヤバチバZM",,,"ネット","6.5号機","AT","5S1800","2026/7/6","1","0","1"
"10507","P","eワールドダイスター","e/ワールドダイスター/L04",,,"大都技研",,"ライトミドル","610055","2026/7/6","1","0","1"
"10506","P","eF機動戦士ガンダムSEED クライマックス","eフィーバー機動戦士ガンダムSEED2A",,,"SANKYO",,"その他","6P0051","2026/8/3","1","0","1"
"10505","P","e一方通行 最狂","eとある魔術の禁書目録 一方通行 最狂RRA",,"e一方通行 最狂","オレンジ",,"ライトミドル","5P1881","2026/7/6","1","0","1"
"10504","P","e 甲鉄城のカバネリ2 輪廻の果報119ver.","e甲鉄城のカバネリ2SCEA",,"eカバネリ2 119ver.","サミー",,"甘デジ","610287","2026/9/7","1","0","1"
"10503","S","スマスロ リコリス・リコイル","L スマスロ リコリス・リコイル KX",,"Lリコリス・リコイル","サミー","6.5号機","AT","6S0400","2026/9/7","1","0","1"
"10502","P","e結城友奈は勇者である～極限7500～","e結城友奈は勇者であるMP",,"eゆゆゆ～7500～","サンセイR&D",,"ミドル","511230","2026/7/6","1","0","1"
"10501","S","パチスロ見える子ちゃん","L見える子ちゃんSC",,"L見える子ちゃん","パイオニア","6.5号機","AT","6S0265","2026/9/7","1","0","1"
"10500","P","e 東京喰種 超デカ超一撃ver.","e東京喰種MW",,"e東京喰種 超デカ超一撃ver.","ビスティ",,"その他","510747","2026/6/8","1","0","1"
"10499","P","P 魔法少女まどか☆マギカ3 キュゥべえver.","P魔法少女まどか☆マギカ3MAJ1",,"まどマギ3 キュゥべえver.","京楽",,"甘デジ","510753","2026/6/8","0","0","1"
"10498","S","L邪神ちゃんドロップキック","L邪神ちゃんドロップキックTX",,"L邪神ちゃん","サンスリー","6.5号機","AT","5S1821","2026/8/3","1","0","1"
"10497","P","PシャカRUSH Z Jr.","PシャカRUSH ZA",,"シャカRUSH Z Jr.","マルホン",,"甘デジ","4P1649","2026/6/22","0","0","1"
"10496","S","Lすーぱぁびん娘","Lびん娘NY1",,"Lすーぱぁびん娘","ベルコ","6.5号機","AT","5S1500","2026/8/3","1","0","1"
"10495","P","eFブルーロック Light ver.","eフィーバーブルーロックY",,"eFブルーロック甘","SANKYO",,"ライトミドル","6P0044","2026/7/6","1","0","1"
"10494","P","PFブルーロック Light ver.","PフィーバーブルーロックY",,"PFブルーロック甘","SANKYO",,"ライトミドル","5P1468","2026/7/6","0","0","1"
"10493","S","スマスロ とんでもスキルで異世界放浪メシ","LとんでもスキルKM",,"Lとんスキ","コナミアミューズメント","6.5号機","AT","5S1909","2026/8/3","1","0","1"
"10491","S","ローティス","LローティスTN",,"Lローティス","北電子","6.5号機","AT","531154","2026/7/6","1","0","1"
"10490","P","PA花の慶次～傾奇一転 87ver.","PA花の慶次~傾奇一転N",,"花の慶次～傾奇一転 87ver.","ニューギン",,"甘デジ","5P0913","2026/6/8","0","1","1"
"10489","S","スマスロ やじきた道中記参る!","Lやじきた道中記参る!BG",,"Lやじきた道中記参る!","ユニバーサルブロス","6.5号機","AT","5S1948","2026/8/3","1","0","1"
"10488","S","L南国育ち SPECIAL","L南国育ちSPM1",,"L南国育ちSP","アムテックス","6.5号機","AT","531057","2026/7/6","1","0","1"
"10487","P","eガールズ&パンツァー 最終章 159ver.","eガールズ&パンツァー3LBH7",,"eガルパン 159ver.","平和",,"ライトミドル","5P1750","2026/7/6","1","0","1"
"10486","P","e 東京リベンジャーズ 聖夜決戦編","e東京リベンジャーズ聖夜決戦編EREC",,"e東京リベンジャーズ 聖夜決戦編","サミー",,"ライトミドル","6P0264","2026/7/6","1","0","1"
"10485","S","Lパチスロ からくりサーカス2","Lからくりサーカス2jG",,"Lからくりサーカス2","SANKYO","6.5号機","AT","5S1811","2026/7/6","1","0","1"
"10484","P","eソードアート・オンライン オルタナティブ ガンゲイル・オンライン","e/ガンゲイル・オンライン/M08",,"eSAOガンゲイル・オンライン","大都技研",,"ミドル","5P1793","2026/6/8","1","0","1"
"10483","S","スロット ソードアート・オンラインII","L/ソードアート・オンラインII/PA1",,"L SAO2","パオン・ディーピー","6.5号機","AT","531088","2026/6/8","1","0","1"
"10482","P","P 犬夜叉3.0 大入り 甘SPEC","P犬夜叉FH-NF",,"犬夜叉3.0 大入り 甘","D-light",,"ライトミドル","511139","2026/5/25","0","0","1"
"10481","P","遊moreLT PエガブレイブVVV","P遊moreLTエガブレイブAX4",,"LT PエガブレイブVVV","豊丸",,"その他","610163","2026/6/8","0","0","1"
"10480","P","e魔法少女リリカルなのは","e魔法少女リリカルなのはHTEZ2",,"e魔法少女リリカルなのは","サンスリー",,"ミドル","6P0220","2026/7/6","1","0","1"
"10479","S","スマスロケロット5BT","LBケロット5ND05H",,"Lケロット5BT","山佐ネクスト","6.5号機","A","5S1696","2026/7/6","1","0","1"
"10478","P","デカスタP戦国無双 100ver.","P戦国無双N",,"戦国無双 100ver.","ニューギン",,"甘デジ","510848","2026/5/11","0","0","1"
